	pex19Δ-1	pex19Δ-2	pex19Δ-3	pex19Δ-6	pex19Δ-7	pex19Δmsp1Δ-1	pex19Δmsp1Δ-2	pex19Δmsp1Δ-3	pex19Δmsp1Δ-4	pex19Δmsp1Δ-5	log$_2$(Fold Change)	p-val	padj	-log$_1$$_0$(p-value)	Cohen's $\mathit{d}$
MSP1	16.3659	14.4503	15.3189	20.8195	27.3393	1.03712	1.01346	0.848286	1.3902	1.41706	-4.046580934724715	7.51289614640376e-05	0.04396296395003934	4.1241926145351275	4.6894943546639185
PEX13	3.26302	3.15835	2.74969	4.11067	5.20934	14.093	14.0427	15.5661	17.6264	20.1806	2.1401271167784772	7.89287014936499e-06	0.008493247359991239	5.102765041991054	6.386414450132455
YJR129C	12.9503	24.9916	29.5583	9.49434	3.53276	8.43009	2.80578	3.80948	1.76215	2.66515	-2.0480287307341447	0.04034936467041552	0.8715052874860537	1.394163299165083	1.5453477635266915
SKY1	4.15731	2.99237	2.69567	6.27891	3.87495	13.3806	18.2452	21.1974	14.714	12.4637	2.0000732178075427	0.00012836421481148536	0.05267516828224906	3.8915560313761715	4.344956161850623
RIB2	4.8018	4.95158	5.20824	4.26651	1.76864	7.15761	3.87743	62.1816	4.22514	1.56142	1.911743679799128	0.34835127003118466	0.9744754182518152	0.4579826017605878	0.6300180732818066
PEX11	4.2264	4.13724	3.18116	5.15652	4.60638	11.3849	13.6798	17.2484	18.6524	17.7269	1.8848494351776055	3.9456022784425425e-05	0.027706019199223535	4.4038866942949415	5.131345888589915
RKM2	9.83725	29.8423	27.0824	7.21286	3.4527	9.47265	2.77094	3.94909	2.6507	3.72913	-1.7782793960024512	0.08382231874208847	0.8903049346605897	1.076640329627616	1.2484722725794846
PEX2	4.48502	4.9628	4.75879	4.35019	4.55626	11.7086	14.6416	16.6217	17.9248	15.9902	1.7340295378407902	7.840105263577581e-06	0.008493247359991239	5.10567810630995	6.39214703110788
UBP12	12.1826	31.2002	25.4591	4.95457	2.453	10.5302	3.4144	4.23946	2.14622	3.42025	-1.6827676016517932	0.10983587855284152	0.8903049346605897	0.9592557717958843	1.1373527989417878
YGR117C	11.2589	28.6362	29.156	4.77715	2.13311	10.9905	3.81192	3.65065	2.1556	3.42995	-1.6599116587637848	0.12167546653908312	0.8903049346605897	0.9147969798700656	1.0948540833854492
BRE5	11.1402	24.8956	27.1276	6.74434	5.51832	9.31563	3.72589	4.21826	3.95482	3.35941	-1.6179297697737007	0.06258079705501297	0.8903049346605897	1.2035589097997728	1.3674546593692196
