Protein Id	Gene Symbol	Description	Number of peptides	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
Q0045	COX1	"Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"	6	3005.64	3670.36	2255.32	2794.78	1968.13	2353.37	3289.27	2282.37	1679.28	4079.73
Q0050	AI1	"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"	12	1450.68	2288.36	1449.24	1881.08	1439.24	1050.06	1200.57	1446.26	967.998	1266.43
Q0055	AI2	"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"	11	1677.6	2310.65	1545.07	1661.63	1541.41	1144.63	1599.09	1596.6	1093.26	1819.93
Q0060	AI3	"Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene"	5	568.69	894.701	466.568	568.164	443.673	468.831	479.116	487.765	411.841	588.141
Q0065	AI4	"Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity"	5	837.843	1294.42	777.18	833.592	764.978	617.128	724.552	719.858	677.923	748.718
Q0110	BI2	"Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA"	9	1138.49	1526.42	1285.33	1838.6	848.492	1118.74	1022.91	1038.4	731.837	1033.18
Q0120	BI4	"Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA"	5	1066.3	1656.01	1136.41	1577.28	910.56	867.333	861.022	899.763	727.233	768.938
Q0130	OLI1	"F0-ATP synthase subunit c (ATPase-associated proteolipid), encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2"	3	298.585	370.586	287.922	294.377	219.645	235.865	284.217	276.24	183.091	270.933
Q0140	VAR1	"Mitochondrial ribosomal protein of the small subunit, mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane"	30	5409.25	7373.64	5484.8	7042.11	5292.35	4450.3	5089.28	4989.21	4198.73	4763.7
Q0250	COX2	"Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"	52	7650.89	9906.41	8357.62	9214.27	5858.61	7584.64	8651.86	6983.09	6005.83	9127.03
Q0255	Q0255	Maturase-like protein	1	50.8366	81.1445	26.5567	46.6267	55.823	27.9317	40.9664	36.536	14.9121	40.6857
R0020C	REP1	Master regulator that acts in concert with Rep2p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; autoregulates levels of its own transcript	4	699.069	370.773	710.606	448.212	696.792	670.034	589.662	1171.83	751.298	727.363
R0040C	REP2	Master regulator that acts in concert with Rep1p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; also autoregulates levels of its own transcript	1	136.169	115.238	173.248	131.654	212.837	140.671	153.113	247.478	237.486	191.718
YAL001C	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding	8	798.683	498.824	818.906	535.179	1170.37	592.902	754.605	1295.76	763.664	1097.07
YAL002W	VPS8	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif	1	29.882	14.6869	28.1606	19.0905	40.5143	38.7442	27.4663	38.991	42.5895	32.8741
