	pex3Δ-1	pex3Δ-2	pex3Δ-3	pex3Δmsp1Δ-1	pex3Δmsp1Δ-2	pex3Δmsp1Δ-3	log$_2$(Fold Change)	p-val	padj	-log$_1$$_0$(p-value)	Cohen's $\mathit{d}$
COX1	1968.13	2353.37	3289.27	2282.37	1679.28	4079.73	0.0794006848578906	0.8696695576439382	0.999944336130877	0.06064573192447485	0.14278833272093222
AI1	1439.24	1050.06	1200.57	1446.26	967.998	1266.43	-0.0035945264166406675	0.9872262108532699	0.999944336130877	0.005583322640424903	0.013907180711671357
AI2	1541.41	1144.63	1599.09	1596.6	1093.26	1819.93	0.07372128271087842	0.786080746717876	0.999944336130877	0.104532840661804	0.23695346471538523
AI3	443.673	468.831	479.116	487.765	411.841	588.141	0.09636389039435507	0.5720235533708478	0.999944336130877	0.24258608853496139	0.5018657104863391
AI4	764.978	617.128	724.552	719.858	677.923	748.718	0.027029378139302986	0.7984634028933074	0.999944336130877	0.09774498470487081	0.22279497162749978
BI2	848.492	1118.74	1022.91	1038.4	731.837	1033.18	-0.09302764178902166	0.6535733449475525	0.999944336130877	0.1847056681926663	0.39533147583696415
BI4	910.56	867.333	861.022	899.763	727.233	768.938	-0.13935671467397517	0.20976405784238292	0.999944336130877	0.6782689242356578	1.218909169605444
OLI1	219.645	235.865	284.217	276.24	183.091	270.933	-0.01857482360512056	0.9341976691026781	0.999944336130877	0.029561220646082003	0.07175170819243482
VAR1	5292.35	4450.3	5089.28	4989.21	4198.73	4763.7	-0.0882716209797622	0.44403234137566827	0.999944336130877	0.3525853966208206	0.6926664533226661
COX2	5858.61	7584.64	8651.86	6983.09	6005.83	9127.03	0.0013601016071065647	0.9957628232361537	0.999944336130877	0.0018440921244160372	0.004612884460844179
Q0255	55.823	27.9317	40.9664	36.536	14.9121	40.6857	-0.43690313489647586	0.3926340602053256	0.999944336130877	0.4060120289397518	0.781618690766854
REP1	696.792	670.034	589.662	1171.83	751.298	727.363	0.4379933802239942	0.1927811512845455	0.999944336130877	0.7149354304605628	1.2772921288916812
REP2	212.837	140.671	153.113	247.478	237.486	191.718	0.4175711332253017	0.11403160646483362	0.999944336130877	0.942974757340847	1.6459607930259281
TFC3	1170.37	592.902	754.605	1295.76	763.664	1097.07	0.326115200619945	0.41019960442680514	0.999944336130877	0.3870047627763764	0.7501827723326808
VPS8	40.5143	38.7442	27.4663	38.991	42.5895	32.8741	0.10087998784180459	0.6317805833963948	0.999944336130877	0.19943372546059557	0.42295777633385373
EFB1	1409.63	1305.92	1783.85	1721.04	1488.1	1569.89	0.08698519474356643	0.5922997503572668	0.999944336130877	0.22745845040562804	0.4745235218254374
SSA1	44890.3	44790.8	52433.2	50684.7	54437.8	48319.3	0.1106398190604763	0.28948810877334774	0.999944336130877	0.5383692709699919	0.9960909466164017
ERP2	1237.82	1190.17	1304.93	1038.0	1569.21	1080.35	-0.01763806712459699	0.9348068320469356	0.999944336130877	0.02927812222178591	0.07108535983262748
FUN14	84.417	105.393	77.3091	86.4103	92.5836	74.4606	-0.07575635894972153	0.6714285040923489	0.999944336130877	0.17300022563306264	0.37308992457288437
SPO7	652.933	1129.57	796.52	942.169	1164.63	754.135	0.14966157666003013	0.637163403003082	0.999944336130877	0.19574917689202695	0.4160824123789243
MDM10	1046.1	1182.83	1197.02	1113.71	1041.32	1165.42	-0.045125321838657945	0.5897978193640807	0.999944336130877	0.22929683748089336	0.4778637651532616
SWC3	57.8681	23.0446	23.0984	41.469	27.2631	33.6185	-0.023217940343843103	0.9662779624855178	0.999944336130877	0.014897925128008305	0.03672737796586407
CYS3	599.502	479.108	575.878	614.459	572.956	526.622	0.051013424650254706	0.6801103496331857	0.999944336130877	0.16742061619281118	0.36239401617964506
DEP1	835.632	711.709	602.332	1536.21	888.239	965.512	0.6571514566133504	0.12705132967933427	0.999944336130877	0.8960207854001073	1.5689015190371278
TPD3	697.01	796.36	1008.04	722.358	766.372	862.694	-0.08920684168575294	0.6454256831094274	0.999944336130877	0.1901537569197556	0.4055959181599882
PSK1	312.369	680.234	236.926	277.318	461.068	266.881	-0.2905270294669736	0.6460116225847152	0.999944336130877	0.1897596684151321	0.404855246782062
FUN30	234.172	177.818	156.114	216.994	177.212	188.631	0.036937405341982796	0.8598856773668717	0.999944336130877	0.06555928479022889	0.1536605129401254
CCR4	362.778	405.408	334.368	337.168	370.801	371.434	-0.030615714535126747	0.7595139585066109	0.999944336130877	0.11946424017289851	0.2676344906652631
PMT2	7167.01	7085.88	7175.24	7171.13	7361.37	7736.69	0.05554313002805118	0.1716416441755264	0.999944336130877	0.7653773339614447	1.357852254996931
MAK16	312.681	286.807	191.127	288.469	319.025	212.435	0.05252366099181652	0.8507411685641681	0.999944336130877	0.07020255056451458	0.16385276753988853
DRS2	941.504	1098.34	878.362	957.844	1040.21	881.606	-0.01918324514238436	0.8799423128050842	0.999944336130877	0.05554579836304662	0.1314065564396996
FRT2	29.3603	35.4019	22.764	27.2453	37.1527	18.4145	-0.07986638694821929	0.8216187333543161	0.999944336130877	0.08532966714732146	0.19653364984995092
MYO4	234.021	246.785	180.408	210.03	232.94	169.42	-0.11066654679437046	0.5863306933163979	0.999944336130877	0.23185737071535936	0.48250789439478936
SNC1	1462.44	979.093	190.746	704.699	1332.92	198.812	-0.23511416307788907	0.8029529747873159	0.999944336130877	0.09530988857985105	0.21768203745522788
GIP4	1564.69	1548.79	1177.04	1378.59	1474.14	1018.31	-0.14843129397580818	0.4980968465926063	0.999944336130877	0.3026862077391392	0.6076377766494511
PRP45	85.6023	71.6047	71.2352	98.3245	63.4335	97.9953	0.18531289419745214	0.45085472910084157	0.999944336130877	0.3459633705677927	0.6815029627049455
FUN19	319.507	237.599	253.235	386.433	296.208	290.94	0.2647718763033204	0.24418900970927016	0.999944336130877	0.6122738863781443	1.1139496801578335
FUN12	1617.43	1569.84	1562.05	1499.49	1683.44	1318.99	-0.07718054542748855	0.4824302713418248	0.999944336130877	0.31656544907635353	0.6315097638616844
RBG1	935.731	996.378	908.156	1120.68	1073.04	912.683	0.12921946451755875	0.2625981959008808	0.999944336130877	0.580708261921268	1.0636912928337239
CDC19	14270.8	14758.0	21273.9	16998.3	17111.4	20117.8	0.10838882181915818	0.6254506931622219	0.999944336130877	0.20380692183244656	0.43108805711605386
CYC3	6808.8	6847.19	7236.92	7952.46	7148.0	8283.57	0.16251013771366835	0.08458223459885411	0.999944336130877	1.0727208453048445	1.8633984780948367
CDC24	604.121	387.303	445.006	531.785	370.294	513.844	-0.020744877625250287	0.9379847930823086	0.999944336130877	0.027804202488712945	0.06761001145031267
ERV46	2493.46	3062.9	3536.67	1966.95	2235.17	1824.9	-0.5933162604100201	0.034587978716733414	0.999944336130877	1.4610748169338408	2.570146722694595
GCV3	677.224	1096.55	787.506	857.176	767.702	928.242	-0.004603629564740091	0.984756798043424	0.999944336130877	0.006671012455803294	0.016596124684939765
YAL044W-A	37.1699	51.2947	44.3524	42.13	41.583	31.7494	-0.2020166986011149	0.3357336971724062	0.999944336130877	0.4740050669688951	0.8925804172869289
AIM1	794.478	1164.22	1094.76	1070.92	1027.3	1082.23	0.05878690482859933	0.7307600333361772	0.999944336130877	0.1362252130658075	0.30136983526169975
GEM1	1872.54	2726.38	2348.12	2561.53	2467.27	2398.03	0.09634815125207571	0.559430307562031	0.999944336130877	0.25225400909355505	0.5191750173764742
AIM2	2376.96	2856.26	3059.87	3233.82	3046.48	3016.95	0.16489430062774607	0.19202105435759817	0.999944336130877	0.7166511499942831	1.2800269212075268
OAF1	91.4951	57.2273	38.277	80.1404	53.1779	49.0469	-0.03620318892316313	0.9370365260802418	0.999944336130877	0.028243479799611428	0.06864685188001857
FLC2	985.605	697.351	890.615	905.101	816.676	973.212	0.06650780006910063	0.6954530296075234	0.999944336130877	0.15773219661530807	0.3436701319479331
ACS1	2754.19	7035.51	3995.14	2969.67	5009.91	3758.68	-0.23186395317599942	0.6523812492264569	0.999944336130877	0.18549852996546576	0.3968286407774352
PEX22	1186.36	1144.95	1013.75	1553.51	1618.58	1823.34	0.5785767800691111	0.004683070521788913	0.999944336130877	2.329469302180941	4.653666455504569
GPB2	1525.02	1130.5	1222.11	1457.06	1323.17	1263.93	0.060664926697748194	0.696110929079658	0.999944336130877	0.1573215476761782	0.342872138064621
CNE1	244.206	229.671	237.9	190.1	286.811	163.381	-0.15269533047495423	0.5619499610637869	0.999944336130877	0.2503023545401873	0.5156907474193164
BDH1	1097.65	1085.65	1483.43	1017.67	1105.56	1329.61	-0.08671055380257343	0.6794597409451757	0.999944336130877	0.16783627079805385	0.36319296933161904
GDH3	1471.42	1465.04	1897.3	1774.57	1837.18	1880.02	0.18412536152047698	0.2081290791684786	0.999944336130877	0.6816672372312852	1.2243161624809862
ERP1	4008.7	4299.84	4805.25	3807.89	4942.29	4143.8	-0.02438704648643592	0.8665527548597218	0.999944336130877	0.0622049927341924	0.1462483100733519
NUP60	272.906	206.99	148.498	226.873	194.689	180.386	-0.0620305422034126	0.8300122684607182	0.999944336130877	0.08091548824390983	0.1870774384476908
RFA1	3284.87	2211.06	3175.84	3594.08	2429.85	3882.51	0.19204020766767976	0.5031409376690249	0.999944336130877	0.29831034520565214	0.6000724183191719
SEN34	130.84	157.678	141.305	174.924	125.664	182.714	0.16918228091985152	0.4122008187733958	0.999944336130877	0.38489114989689677	0.7466736477757326
YAR010C	6352.37	7788.18	5270.2	8432.21	8664.98	5769.58	0.23639673259698887	0.3845217936496822	0.999944336130877	0.4150790405346669	0.7965423413281705
