	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
COX1	10.9782	13.4061	8.23765	10.208	7.18865	8.59576	12.0142	8.33642	6.13362	14.9013
AI1	10.0463	15.8475	10.0363	13.027	9.9671	7.27195	8.31425	10.0157	6.70362	8.77034
AI2	10.4917	14.4507	9.66279	10.3918	9.63992	7.15848	10.0006	9.98509	6.83717	11.3818
AI3	10.5754	16.6379	8.67632	10.5656	8.25057	8.7184	8.90966	9.0705	7.65861	10.9371
AI4	10.478	16.188	9.71938	10.4249	9.56678	7.71777	9.0612	9.00251	8.47807	9.36342
BI2	9.8295	13.1788	11.0972	15.8741	7.3257	9.65899	8.83156	8.96531	6.31853	8.92029
BI4	10.1835	15.8155	10.8531	15.0635	8.69614	8.28331	8.22304	8.59302	6.94531	7.3436
OLI1	10.9715	13.6172	10.5797	10.8169	8.07086	8.66685	10.4435	10.1504	6.72767	9.95544
VAR1	9.99984	13.6313	10.1395	13.0184	9.78373	8.22708	9.40833	9.22333	7.762	8.80644
COX2	9.64314	12.486	10.5339	11.6136	7.38416	9.55964	10.9048	8.80145	7.56972	11.5037
Q0255	12.046	19.2277	6.29277	11.0485	13.2276	6.61858	9.70724	8.65742	3.5335	9.64073
REP1	10.2268	5.42412	10.3956	6.55699	10.1935	9.80206	8.62629	17.143	10.9909	10.6407
REP2	7.82757	6.62435	9.95898	7.56803	12.2347	8.08634	8.80156	14.226	13.6517	11.0207
TFC3	9.59268	5.99119	9.83557	6.42783	14.0568	7.12112	9.06328	15.5629	9.17208	13.1765
VPS8	9.54699	4.6923	8.99701	6.09921	12.9439	12.3784	8.7752	12.4572	13.6069	10.5029
EFB1	12.2073	3.11671	8.17764	4.74652	10.9009	10.0989	13.7948	13.3091	11.5077	12.1402
SSA1	10.5324	3.76675	10.224	5.54812	10.6211	10.5975	12.4057	11.992	12.88	11.4324
ERP2	9.92649	8.41388	10.317	7.49446	10.6506	10.2406	11.228	8.93126	13.502	9.29566
FUN14	8.42898	13.4833	10.9526	13.6088	8.67992	10.8367	7.94908	8.88487	9.51963	7.65619
SPO7	9.90353	7.01368	9.39769	8.88284	7.7779	13.4558	9.48835	11.2234	13.8734	8.98345
MDM10	10.4528	12.5618	11.4928	11.3595	8.39393	9.49099	9.60492	8.93639	8.35557	9.35134
SWC3	8.34475	5.93527	9.1654	8.91663	18.9671	7.55319	7.57084	13.592	8.93586	11.0189
CYS3	13.1139	3.49923	10.0087	5.78664	12.0294	9.61359	11.5553	12.3295	11.4967	10.567
DEP1	8.98928	3.65002	9.31602	6.05164	10.8599	9.24936	7.8279	19.9646	11.5435	12.5478
TPD3	10.7099	6.65156	11.261	6.77528	9.27879	10.6014	13.4193	9.61623	10.2022	11.4844
PSK1	9.2003	10.066	5.81467	8.76178	9.24715	20.1372	7.01377	8.20952	13.6491	7.90056
FUN30	9.83359	10.5018	8.94106	11.5034	12.049	9.14939	8.03264	11.1651	9.11823	9.70577
CCR4	10.5437	6.95033	9.05135	7.6049	10.9483	12.2349	10.091	10.1755	11.1905	11.2096
PMT2	10.9631	6.09312	10.4559	7.80853	10.6084	10.4883	10.6205	10.6145	10.896	11.4516
MAK16	10.8042	5.86696	8.79185	5.66005	13.3722	12.2657	8.17379	12.3367	13.6435	9.08505
DRS2	10.7821	6.9732	9.89802	7.88541	10.4677	12.2114	9.76572	10.6494	11.5651	9.80179
FRT2	7.69834	9.17691	9.55716	10.8439	10.8113	13.036	8.38238	10.0325	13.6807	6.78077
MYO4	10.388	6.23323	7.94656	7.45979	12.4897	13.1709	9.62841	11.2093	12.432	9.04195
SNC1	7.35964	7.2374	8.3541	9.54564	20.2763	13.5748	2.64464	9.77045	18.4805	2.75648
GIP4	11.637	9.0596	9.65273	8.44695	11.7337	11.6144	8.82665	10.3381	11.0546	7.63634
PRP45	9.2737	12.4404	6.70552	6.05669	11.4892	9.6105	9.56091	13.1967	8.51379	13.1525
FUN19	9.28962	5.20171	8.44139	6.24964	12.6837	9.43213	10.0529	15.3405	11.7588	11.5497
FUN12	10.4172	6.29385	9.94635	7.42797	11.5241	11.1851	11.1296	10.6838	11.9944	9.3977
RBG1	11.1058	6.18003	10.9319	7.6167	10.0967	10.7511	9.79917	12.0923	11.5783	9.84801
CDC19	12.9131	2.81527	8.06255	4.43218	9.79923	10.1338	14.608	11.6721	11.7497	13.8141
CYC3	8.55772	14.5914	10.3467	12.3638	8.32557	8.37251	8.84906	9.724	8.74033	10.1289
CDC24	12.7804	5.15548	7.89135	6.21323	14.3936	9.22781	10.6026	12.6702	8.82255	12.2427
ERV46	10.1	7.72028	12.7179	9.34673	9.91364	12.1776	14.0613	7.8203	8.8867	7.25554
GCV3	9.12144	14.9847	11.1358	16.1067	6.44217	10.431	7.49124	8.15398	7.30285	8.83
YAL044W-A	10.0958	15.6406	10.1217	13.6142	7.5645	10.4391	9.02623	8.57393	8.46262	6.46137
AIM1	7.69643	19.817	12.2141	17.3512	5.47009	8.01583	7.53758	7.37342	7.07307	7.4513
GEM1	8.85943	13.0107	11.5008	13.9149	6.86729	9.99862	8.61142	9.39406	9.04836	8.79443
AIM2	12.04	3.09334	8.77978	4.30208	9.70017	11.6562	12.4871	13.197	12.4324	12.3119
OAF1	11.3189	8.03739	10.8435	5.9105	15.8261	9.8987	6.62084	13.862	9.19827	8.48373
FLC2	10.5869	8.59644	10.8764	8.83041	11.432	8.08855	10.3302	10.4982	9.4726	11.2883
ACS1	8.84657	7.88625	5.33111	9.20256	7.417	18.9466	10.7589	7.9973	13.4916	10.1221
PEX22	7.09438	9.88502	12.5123	14.8137	7.92207	7.64556	6.76943	10.3738	10.8082	12.1756
GPB2	12.018	6.75425	11.7481	7.41633	11.9478	8.85689	9.57465	11.4154	10.3664	9.90224
CNE1	10.7954	7.27402	9.97181	7.55753	11.632	10.9396	11.3315	9.05475	13.6613	7.7821
BDH1	11.771	2.77675	8.06863	4.16535	11.2883	11.1649	15.2557	10.4658	11.3697	13.6738
GDH3	13.715	4.18526	9.17066	5.4811	9.61153	9.56988	12.3935	11.5917	12.0008	12.2806
ERP1	10.3038	6.57977	9.50752	7.19104	10.2373	10.9808	12.2715	9.72448	12.6215	10.5823
NUP60	11.8745	10.2843	9.34499	4.8752	14.112	10.7035	7.67883	11.7316	10.0674	9.32773
RFA1	11.3928	3.38614	8.90648	3.97335	12.7909	8.6096	12.3663	13.9949	9.46152	15.118
SEN34	9.23847	14.5195	10.3347	13.0337	7.57617	9.13019	8.18213	10.1288	7.27647	10.5799
YAR010C	9.01914	5.40491	9.05933	7.90849	10.3087	12.6387	8.55251	13.6838	14.0616	9.3629
ADE1	10.9465	3.08594	7.05026	4.85444	11.4882	12.9405	12.5461	12.7211	12.0518	12.3151
KIN3	10.1483	7.61103	9.3834	7.9624	9.39361	12.8363	9.12679	11.5252	12.7005	9.31249
UIP3	11.6149	6.21634	6.74941	9.00566	16.8252	13.6717	8.32423	12.1694	10.1589	5.26434
PRM9	8.4067	7.37326	9.23782	9.09747	12.2495	13.6561	10.6956	12.2429	10.5197	6.52091
YAT1	14.8543	4.43049	7.31474	5.323	12.7277	8.94908	10.8322	14.2457	9.28183	12.041
SWH1	12.1006	5.88079	8.5657	7.61089	10.4133	11.6533	10.7694	11.1032	11.2989	10.6039
HTB2	9.03992	5.42951	8.26975	5.90626	14.8668	6.98044	7.44657	17.5343	10.6252	13.9013
HTA2	7.75723	5.89157	7.92147	6.13469	12.6927	7.3158	8.59421	18.4254	10.7675	14.4995
UTP20	11.4408	6.27399	11.5477	7.86703	9.33608	11.1313	10.0261	11.5636	12.905	7.90847
YBL005W-B	9.08851	5.10176	9.10276	7.09735	10.4234	9.92624	9.72743	13.7385	14.0508	11.7432
SLA1	11.5209	3.14368	11.1143	4.35549	11.6015	13.1303	11.6114	10.3231	12.8443	10.3548
SCT1	10.7219	9.22726	10.2189	9.15842	9.86056	10.2136	9.80481	11.1925	9.97514	9.62685
FMT1	10.8637	11.9187	12.6199	13.8989	7.26069	8.62442	9.69398	8.66717	8.05632	8.39635
ACH1	9.82665	17.1002	9.26367	14.6025	8.31376	9.16169	8.59546	7.21516	7.48029	8.4406
FUS3	8.35692	7.0334	6.92189	8.0266	9.48926	15.0642	9.4807	10.6171	13.7955	11.2144
PEP1	10.8396	6.61832	9.20226	6.22047	11.3385	11.6522	10.4737	10.6338	12.3455	10.6756
APN2	11.1007	6.72093	11.0958	6.89304	9.64207	12.9005	8.98113	11.6564	11.9816	9.02794
PIM1	8.85651	15.1748	11.353	13.6583	7.86492	8.99037	8.93326	8.08415	8.52992	8.55479
MCM2	11.167	5.78213	9.67615	8.82568	10.0825	13.3179	7.78264	11.8428	10.9192	10.604
NCL1	13.5532	2.75178	8.6744	4.15763	11.2785	9.85761	13.9485	12.0751	10.8584	12.8448
RRN10	8.36989	6.11558	8.14266	5.36502	15.2372	7.48041	7.61224	17.3884	10.5058	13.7829
RPL19B	11.1627	4.19211	9.67612	6.24932	15.8467	9.8089	8.81485	13.0871	11.8266	9.33558
YBL029C-A	7.76389	7.18778	9.77173	7.65296	8.54408	11.1789	11.9524	10.5956	11.6244	13.7282
PET9	9.83326	12.0229	10.8547	12.4561	8.97696	9.23226	9.3473	10.3766	7.10963	9.79025
HEK2	12.2245	5.63902	12.109	7.53894	10.8289	11.7437	8.44426	13.0056	12.4809	5.98521
RIB1	10.9618	3.58218	8.12037	5.31494	11.1871	10.2438	12.057	12.2053	11.8501	14.4774
POL12	13.9008	5.14953	11.3212	4.8587	11.2458	8.74271	12.3567	11.2274	10.8462	10.351
MRPL16	8.5654	13.2465	9.42295	11.853	8.56902	9.29428	9.53617	10.6554	8.18109	10.6762
URA7	10.4367	3.26563	6.6798	5.56	9.3659	15.5972	12.5319	10.8709	12.1296	13.5623
PRE7	12.058	3.25708	10.8164	5.2701	9.34239	9.3733	13.9324	11.9819	11.551	12.4174
COR1	9.3391	12.5264	10.3562	12.3531	9.2603	8.17219	9.95101	8.91297	7.37927	11.7495
EDE1	11.7222	5.8053	13.6004	6.20439	11.4405	9.73134	11.1883	10.0102	10.0175	10.2798
SEC17	9.31091	4.40553	8.96664	7.41657	11.5614	12.7977	9.96859	11.7778	13.0172	10.7776
YBL055C	10.6264	13.1934	10.2582	11.8124	9.46623	9.01836	8.78066	8.37093	9.7388	8.73461
PTC3	11.6495	5.93985	9.62901	6.03921	11.019	9.10622	12.3043	11.2578	10.5621	12.493
