Protein Id	Gene Symbol	Description	Number of peptides	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
Q0045	COX1	"Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"	6	10.9782	13.4061	8.23765	10.208	7.18865	8.59576	12.0142	8.33642	6.13362	14.9013
Q0050	AI1	"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"	12	10.0463	15.8475	10.0363	13.027	9.9671	7.27195	8.31425	10.0157	6.70362	8.77034
Q0055	AI2	"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"	11	10.4917	14.4507	9.66279	10.3918	9.63992	7.15848	10.0006	9.98509	6.83717	11.3818
Q0060	AI3	"Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene"	5	10.5754	16.6379	8.67632	10.5656	8.25057	8.7184	8.90966	9.0705	7.65861	10.9371
Q0065	AI4	"Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity"	5	10.478	16.188	9.71938	10.4249	9.56678	7.71777	9.0612	9.00251	8.47807	9.36342
Q0110	BI2	"Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA"	9	9.8295	13.1788	11.0972	15.8741	7.3257	9.65899	8.83156	8.96531	6.31853	8.92029
Q0120	BI4	"Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA"	5	10.1835	15.8155	10.8531	15.0635	8.69614	8.28331	8.22304	8.59302	6.94531	7.3436
Q0130	OLI1	"F0-ATP synthase subunit c (ATPase-associated proteolipid), encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2"	3	10.9715	13.6172	10.5797	10.8169	8.07086	8.66685	10.4435	10.1504	6.72767	9.95544
Q0140	VAR1	"Mitochondrial ribosomal protein of the small subunit, mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane"	30	9.99984	13.6313	10.1395	13.0184	9.78373	8.22708	9.40833	9.22333	7.762	8.80644
Q0250	COX2	"Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"	52	9.64314	12.486	10.5339	11.6136	7.38416	9.55964	10.9048	8.80145	7.56972	11.5037
Q0255	Q0255	Maturase-like protein	1	12.046	19.2277	6.29277	11.0485	13.2276	6.61858	9.70724	8.65742	3.5335	9.64073
R0020C	REP1	Master regulator that acts in concert with Rep2p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; autoregulates levels of its own transcript	4	10.2268	5.42412	10.3956	6.55699	10.1935	9.80206	8.62629	17.143	10.9909	10.6407
R0040C	REP2	Master regulator that acts in concert with Rep1p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; also autoregulates levels of its own transcript	1	7.82757	6.62435	9.95898	7.56803	12.2347	8.08634	8.80156	14.226	13.6517	11.0207
YAL001C	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding	8	9.59268	5.99119	9.83557	6.42783	14.0568	7.12112	9.06328	15.5629	9.17208	13.1765
YAL002W	VPS8	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif	1	9.54699	4.6923	8.99701	6.09921	12.9439	12.3784	8.7752	12.4572	13.6069	10.5029
YAL003W	EFB1	"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"	6	12.2073	3.11671	8.17764	4.74652	10.9009	10.0989	13.7948	13.3091	11.5077	12.1402
YAL005C	SSA1	"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identical with Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes"	123	10.5324	3.76675	10.224	5.54812	10.6211	10.5975	12.4057	11.992	12.88	11.4324
YAL007C	ERP2	"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	4	9.92649	8.41388	10.317	7.49446	10.6506	10.2406	11.228	8.93126	13.502	9.29566
YAL008W	FUN14	Mitochondrial protein of unknown function	1	8.42898	13.4833	10.9526	13.6088	8.67992	10.8367	7.94908	8.88487	9.51963	7.65619
YAL009W	SPO7	"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"	4	9.90353	7.01368	9.39769	8.88284	7.7779	13.4558	9.48835	11.2234	13.8734	8.98345
