Protein Id	Gene Symbol	Description	Number of peptides	2726_1	2726_2	2726_3	2726_4	2726_5	2995_1	2995_2	2995_3	2995_6	2995_7
Q0045	COX1	"Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"	13	1529.88	756.549	1183.54	756.164	1091.29	1250.41	1610.12	1646.77	1578.55	960.373
Q0050	AI1	"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"	12	1231.07	757.301	995.088	1029.72	1083.4	892.749	1027.88	1064.91	1231.51	1288.69
Q0055	AI2	"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"	20	3302.9	1802.57	2378.22	2099.29	2610.37	2603.96	3553.36	3487.7	3285.08	3067.71
Q0060	AI3	"Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene"	7	489.826	324.927	459.371	302.493	329.858	514.224	734.117	747.574	631.504	414.973
Q0065	AI4	"Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity"	4	259.298	155.534	201.53	219.996	217.231	298.047	389.079	410.15	413.389	378.332
Q0070	AI5_ALPHA	"Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene"	2	64.4203	32.0543	36.7413	39.4056	42.3239	54.3927	79.8598	72.2928	51.8304	59.9056
Q0110	BI2	"Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA"	12	1043.19	613.066	728.601	739.468	872.623	693.789	893.56	863.907	892.969	747.443
Q0115	BI3	"Mitochondrial mRNA maturase, forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA"	1	57.2821	31.3219	32.7989	65.8899	58.0602	45.6018	39.088	34.8756	45.894	70.5613
Q0120	BI4	"Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA"	3	210.703	127.159	149.828	186.098	185.386	140.652	180.258	195.491	184.196	192.517
Q0140	VAR1	"Mitochondrial ribosomal protein of the small subunit, mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane"	61	6926.79	5488.53	5876.35	6874.21	7009.95	5580.34	6996.41	6879.9	7275.18	7786.26
Q0250	COX2	"Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"	41	6486	4036.4	4566.05	2239.52	4220.15	5436.55	7203.91	7687.2	4763.03	2108.96
Q0255	Q0255	Maturase-like protein	4	215.812	182.472	221.12	218.055	216.171	225.076	271.353	265.82	280.135	244.459
